Scaffold_ID	Scaffold_Name	VCF
JBAIFV010000091.1	Scaffold_193	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000092.1	Scaffold_196	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000093.1	Scaffold_201	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000094.1	Scaffold_205	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000095.1	Scaffold_206	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000096.1	Scaffold_207	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000097.1	Scaffold_208	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000098.1	Scaffold_210	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000099.1	Scaffold_213	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000100.1	Scaffold_214	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000101.1	Scaffold_215	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000102.1	Scaffold_216	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000103.1	Scaffold_218	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000104.1	Scaffold_219	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000105.1	Scaffold_221	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000106.1	Scaffold_222	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000107.1	Scaffold_424	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000108.1	Scaffold_223	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000109.1	Scaffold_226	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000110.1	Scaffold_227	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000111.1	Scaffold_428	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000112.1	Scaffold_228	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000113.1	Scaffold_229	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000114.1	Scaffold_231	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000115.1	Scaffold_232	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000116.1	Scaffold_234	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000117.1	Scaffold_235	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000118.1	Scaffold_237	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000119.1	Scaffold_436	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000120.1	Scaffold_238	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000121.1	Scaffold_239	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000122.1	Scaffold_240	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000123.1	Scaffold_245	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000124.1	Scaffold_247	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000125.1	Scaffold_443	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000126.1	Scaffold_255	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000127.1	Scaffold_445	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000128.1	Scaffold_446	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000129.1	Scaffold_259	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000130.1	Scaffold_261	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000131.1	Scaffold_449	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000132.1	Scaffold_263	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000133.1	Scaffold_264	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000134.1	Scaffold_452	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000135.1	Scaffold_265	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000136.1	Scaffold_266	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000137.1	Scaffold_455	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000138.1	Scaffold_267	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000139.1	Scaffold_268	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000140.1	Scaffold_458	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000141.1	Scaffold_459	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000142.1	Scaffold_271	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000143.1	Scaffold_461	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000144.1	Scaffold_276	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000145.1	Scaffold_463	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000146.1	Scaffold_279	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000147.1	Scaffold_280	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000148.1	Scaffold_466	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000149.1	Scaffold_467	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000150.1	Scaffold_468	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000151.1	Scaffold_284	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000152.1	Scaffold_470	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000153.1	Scaffold_285	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000154.1	Scaffold_472	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000155.1	Scaffold_287	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000156.1	Scaffold_474	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000157.1	Scaffold_289	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000158.1	Scaffold_290	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000159.1	Scaffold_477	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000160.1	Scaffold_478	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000161.1	Scaffold_292	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000162.1	Scaffold_480	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000163.1	Scaffold_294	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000164.1	Scaffold_295	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000165.1	Scaffold_296	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000166.1	Scaffold_484	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000167.1	Scaffold_485	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000168.1	Scaffold_487	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000169.1	Scaffold_488	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000170.1	Scaffold_301	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000171.1	Scaffold_490	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000172.1	Scaffold_302	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000173.1	Scaffold_492	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000174.1	Scaffold_304	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000175.1	Scaffold_494	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000176.1	Scaffold_495	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000177.1	Scaffold_496	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
JBAIFV010000178.1	Scaffold_306	allsistrurus.unplaced.minDP4.noinf.norm.vcf.gz
